Date,Price,Rating
1980-01-01,129.636657714844,40
1980-04-01,112.966672261556,40
1980-07-01,128.873331705729,40
1980-10-01,129.283325195313,40
1981-01-01,117.259999593099,40
1981-04-01,112.743336995443,40
1981-07-01,110.166666666667,40
1981-10-01,108.316668192546,40
1982-01-01,108,40
1982-04-01,108.833333333333,40
1982-07-01,104.233337402344,40
1982-10-01,112.5,40
1983-01-01,108.233342488607,40
1983-04-01,114.133328755697,40
1983-07-01,111.943328857422,40
1983-10-01,108.376668294271,40
1984-01-01,105.56667582194,40
1984-04-01,108.823331197103,40
1984-07-01,100.890004475912,40
1984-10-01,97.1566772460936,40
1985-01-01,103.333333333333,40
1985-04-01,95.5133361816406,40
1985-07-01,93.4966634114583,40
1985-10-01,98.3333333333333,40
1986-01-01,98.7999979654948,40
1986-04-01,92.9466654459636,40
1986-07-01,90.9866739908854,40
1986-10-01,97.2000020345052,40
1987-01-01,102.616668701172,40
1987-04-01,107.593335469564,40
1987-07-01,107.820007324219,40
1987-10-01,114.670003255208,40
1988-01-01,116.356669108073,40
1988-04-01,110.96666208903,40
1988-07-01,112.866653442383,40
1988-10-01,116.5,40
1989-01-01,111.358754475911,40
1989-04-01,110.546671549479,40
1989-07-01,116.246663411459,40
1989-10-01,127.700002034505,40
1990-01-01,116.813334147135,40
1990-04-01,112.733324686686,40
1990-07-01,119.596666971843,40
1990-10-01,115.92333984375,40
1991-01-01,119.713330586751,40
1991-04-01,120.064002990723,40
1991-07-01,122.060000101725,40
1991-10-01,121.499997456868,40
1992-01-01,114.078900655111,40
1992-04-01,107.278310139974,40
1992-07-01,109.347981770834,40
1992-10-01,114.636899312337,40
1993-01-01,109.905695597331,40
1993-04-01,121.152412414551,40
1993-07-01,126.373013814291,40
1993-10-01,117.521771748861,40
1994-01-01,114.994819641113,40
1994-04-01,109.632377624512,40
1994-07-01,99.7756093343099,40
1994-10-01,98.8686498006184,40
1995-01-01,96.6687266031901,40
1995-04-01,83.455940246582,40
1995-07-01,78.8817036946615,40
1995-10-01,87.0007985432943,40
1996-01-01,82.8779932657878,40
1996-04-01,79.9375,40
1996-07-01,78.8613637288411,40
1996-10-01,82.2023315429687,40
1997-01-01,86.7229080200195,40
1997-04-01,85.8652598063151,40
1997-07-01,81.6729787190755,40
1997-10-01,82.4125315348307,40
1998-01-01,82.2127888997396,40
1998-04-01,79.871592203776,40
1998-07-01,75.7013905843099,40
1998-10-01,75.3942184448242,40
1999-01-01,80.308332824707,40
1999-04-01,79.6319645732689,40
1999-07-01,85.4673997113997,40
1999-10-01,87.1497023809524,40
2000-01-01,89.2366666666667,40
2000-04-01,89.6689393939394,40
2000-07-01,85.3372601794341,40
2000-10-01,86.9136363636364,40
2001-01-01,88.8091666666667,40
2001-04-01,92.0178391053391,40
2001-07-01,102.502964426878,40
2001-10-01,102.833212560386,40
2002-01-01,104.340151515152,40
2002-04-01,98.0335881700297,40
2002-07-01,95.0648448773449,40
2002-10-01,84.1765,40
2003-01-01,84.325,40
2003-04-01,80.0583333333333,40
2003-07-01,89.7083333333333,40
2003-10-01,104.85,40
2004-01-01,101.27,40
2004-04-01,111.158333333333,40
2004-07-01,124.975,40
2004-10-01,118.225,40
2005-01-01,117.541666666667,40
2005-04-01,119.991666666667,40
2005-07-01,120.966666666667,40
2005-10-01,116.416666666667,40
2006-01-01,113.425,40
2006-04-01,112.258333333333,40
2006-07-01,116.75,40
2006-10-01,120.108333333333,40
2007-01-01,118.675,40
2007-04-01,117.75,40
2007-07-01,118.05,40
2007-10-01,117.678333333333,40
2008-01-01,118.575,40
2008-04-01,119.15,40
2008-07-01,132.633333333333,40
2008-10-01,114.055555555556,40
2009-01-01,111.208333333333,40
2009-04-01,119.075,40
2009-07-01,124.041666666667,40
2009-10-01,124.166666666667,40
2010-01-01,142.575,40
2010-04-01,155.768518518519,40
2010-07-01,150.128787878788,40
2010-10-01,161.425925925926,40
2011-01-01,185.689130434783,40
2011-04-01,185.159090909091,40
2011-07-01,178.18051634356,40
2011-10-01,183.684659090909,40
2012-01-01,193.130230880231,40
2012-04-01,187.664941338854,40
2012-07-01,181.248023715415,40
2012-10-01,189.728417717548,40
2013-01-01,193.817339544513,40
2013-04-01,181.839591567852,40
2013-07-01,176.253968253968,40
2013-10-01,182.443095551791,40
2014-01-01,191.822808833678,40
2014-04-01,195.51948051948,40
2014-07-01,252.884199134199,40
2014-10-01,256.007246376812,40
2015-01-01,216.564393939394,40
2015-04-01,202.897186147186,40
2015-07-01,206.274044795784,40
2015-10-01,176.241859589686,40
2016-01-01,168.858868184955,40
2016-04-01,179.271284271284,40
2016-07-01,185.411051508878,40
2016-10-01,179.291847041847,40
2017-01-01,183.848880105402,40
2017-04-01,199.815711462451,40
